S;Alize Sunset;true;85;1;1132.96;90;7071;60;0,27623615
S;Fudge - Chocolate Fudge;true;36;5;1578.09;74;9968;30;0,287840494
L;Bamboo Shoots - Sliced;false;81;6;156.92;663;9581;;0,15466124
L;Mousse - Banana Chocolate;true;20;2;75.3;56;3019;;0,188414338
U;Cookies - Amaretto;true;25;10;12;3919;4;18;0,751329315
L;Melon - Watermelon, Seedless;true;21;6;2156.0;225;2432;;0,416398305
L;Veal - Inside;false;40;4;471.59;339;3935;;0,024577128
L;Sambuca - Opal Nera;false;88;2;1688.38;225;2954;;0,190966703
U;Beer - Molson Excel;false;45;11;8;398;1;24;0,314220989
S;Tabasco Sauce, 2 Oz;true;11;12;3170.75;336;12;60;0,609178914
U;Milk - Condensed;true;48;2;33;3652;3;12;0,35726723
U;Yogurt - Assorted Pack;true;80;4;7;2974;3;19;0,536009587
S;Muffin - Carrot Individual Wrap;true;90;10;3217.68;336;8499;30;0,620956726
L;Filter - Coffee;true;86;13;460.22;839;2086;;0,501083939
L;Flour - Semolina;true;42;3;1408.54;23;6800;;0,843883821
L;Garam Masala Powder;false;71;9;1225.01;23;2254;;0,117268819
L;Tofu - Soft;true;49;13;926.15;265;5579;;0,563814791
S;Tendrils - Baby Pea, Organic;true;82;14;848.77;333;4024;30;0,115351781
S;Chivas Regal - 12 Year Old;false;47;10;2405.25;66;8062;30;0,271174608
U;Soup - French Onion, Dry;true;84;10;36;3721;2;29;0,436313332
S;Wine - Chianti Classico Riserva;true;63;3;3936.7;266;9723;60;0,009406558
S;V8 - Vegetable Cocktail;false;74;12;2458.38;89;830;60;0,602280005
U;Beef - Chuck, Boneless;true;23;2;21;1423;3;14;0,133462355
S;Beef - Rouladin, Sliced;false;8;3;3823.81;64;3257;60;0,412603076
L;Soup - Base Broth Beef;false;9;14;4404.8;73;5991;;0,405759908
S;Butter - Unsalted;true;100;4;947.34;266;3495;90;0,049517816
L;Peas Snow;true;25;11;3096.97;30;7874;;0,045891673
U;Hog / Sausage Casing - Pork;true;25;12;17;645;5;5;0,579355273
U;Shortbread - Cookie Crumbs;true;73;13;25;3502;2;13;0,019600504
S;Bagel - Sesame Seed Presliced;false;24;14;2313.08;80;1921;30;0,096567686
L;Wine - Ruffino Chianti;false;34;2;1064.14;26;7181;;0,039785799
L;Foil - Round Foil;true;93;7;3869.73;568;8467;;0,685930674
S;Meldea Green Tea Liquor;true;53;9;3103.01;26;120;60;0,878792999
U;Cheese Cloth;false;29;9;7;4289;2;8;0,051890611
L;Soup - Campbells Broccoli;true;67;4;2880.98;663;3522;;0,537945534
U;Cabbage Roll;true;39;4;6;900;1;19;0,624444567
S;Vinegar - White Wine;true;3;3;2737.36;23;7029;30;0,415580028
U;Wine - Niagara Peninsula Vqa;true;1;2;17;4013;5;1;0,893610676
S;Energy Drink Red Bull;true;89;3;2524.46;362;5642;90;0,10531022
L;Wild Boar - Tenderloin;true;78;12;4749.59;884;6456;;0,976074981
U;Rappini - Andy Boy;false;13;3;3;3325;5;14;0,220019552
S;Pepper - Red Bell;false;50;6;468.49;46;6273;30;0,265712117
S;Sage Ground Wiberg;false;75;2;4323.66;56;3629;90;0,408276862
U;Cheese - Brie;false;85;11;42;3355;3;9;0,343597747
U;Pastry - Lemon Danish - Mini;true;50;12;38;2454;1;14;0,788934593
L;Sprouts - China Rose;true;19;11;1212.61;36;4875;;0,334163082
S;Irish Cream - Baileys;false;45;13;3290.53;423;6323;60;0,22664574
U;Peas - Pigeon, Dry;false;87;14;19;4755;2;21;0,521270001
L;Onions - Pearl;false;13;1;2941.07;84;5331;;0,584403031
U;Fuji Apples;true;7;8;3;4383;3;17;0,495488867
S;Bread - Corn Muffaletta;true;49;9;1633.75;323;6619;30;0,425001565
U;Gin - Gilbeys London, Dry;true;26;1;46;2748;2;36;0,560434643
L;Pepper - Green Thai;true;73;8;1167.02;286;5716;;0,905065254
U;Bay Leaf;false;21;12;30;873;3;30;0,004393966
U;Beef - Ox Tail, Frozen;false;28;9;7;2638;1;28;0,535468683
U;Dry Ice;false;51;11;46;1841;2;33;0,741208543
L;Milk Powder;true;78;3;534.88;884;4517;;0,097961505
U;Bread - Calabrese Baguette;true;81;5;16;4123;1;30;0,633496823
L;Sugar - Splenda Sweetener;false;70;13;497.15;38;3179;;0,224476586
S;Arctic Char - Fresh, Whole;false;12;9;2213.23;99;7749;30;0,694244075
